canonical_field,source_endpoints,example_raw_field,category,likely_use,priority,first_seen,last_seen
market_hours.future.J7.sessionHours.noTrading.*.start,market_hours,future.J7.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.J7.sessionHours.regularMarket,market_hours,future.J7.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.J7.sessionHours.regularMarket.*,market_hours,future.J7.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.J7.sessionHours.regularMarket.*.end,market_hours,future.J7.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.J7.sessionHours.regularMarket.*.start,market_hours,future.J7.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.KE,market_hours,future.KE,unknown,unknown,medium,,
market_hours.future.KE.category,market_hours,future.KE.category,unknown,unknown,medium,,
market_hours.future.KE.date,market_hours,future.KE.date,unknown,unknown,medium,,
market_hours.future.KE.exchange,market_hours,future.KE.exchange,unknown,unknown,low,,
market_hours.future.KE.isOpen,market_hours,future.KE.isOpen,market_hours,unknown,medium,,
market_hours.future.KE.marketType,market_hours,future.KE.marketType,unknown,unknown,medium,,
market_hours.future.KE.product,market_hours,future.KE.product,unknown,unknown,medium,,
market_hours.future.KE.productName,market_hours,future.KE.productName,unknown,unknown,medium,,
market_hours.future.KE.sessionHours,market_hours,future.KE.sessionHours,unknown,unknown,medium,,
market_hours.future.KE.sessionHours.noTrading,market_hours,future.KE.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.KE.sessionHours.noTrading.*,market_hours,future.KE.sessionHours.noTrading.7,unknown,unknown,medium,,
market_hours.future.KE.sessionHours.noTrading.*.end,market_hours,future.KE.sessionHours.noTrading.7.end,unknown,unknown,medium,,
market_hours.future.KE.sessionHours.noTrading.*.start,market_hours,future.KE.sessionHours.noTrading.7.start,unknown,unknown,medium,,
market_hours.future.KE.sessionHours.regularMarket,market_hours,future.KE.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.KE.sessionHours.regularMarket.*,market_hours,future.KE.sessionHours.regularMarket.3,unknown,unknown,medium,,
market_hours.future.KE.sessionHours.regularMarket.*.end,market_hours,future.KE.sessionHours.regularMarket.3.end,unknown,unknown,medium,,
market_hours.future.KE.sessionHours.regularMarket.*.start,market_hours,future.KE.sessionHours.regularMarket.3.start,unknown,unknown,medium,,
market_hours.future.LE,market_hours,future.LE,unknown,unknown,medium,,
market_hours.future.LE.category,market_hours,future.LE.category,unknown,unknown,medium,,
market_hours.future.LE.date,market_hours,future.LE.date,unknown,unknown,medium,,
market_hours.future.LE.exchange,market_hours,future.LE.exchange,unknown,unknown,low,,
market_hours.future.LE.isOpen,market_hours,future.LE.isOpen,market_hours,unknown,medium,,
market_hours.future.LE.marketType,market_hours,future.LE.marketType,unknown,unknown,medium,,
market_hours.future.LE.product,market_hours,future.LE.product,unknown,unknown,medium,,
market_hours.future.LE.productName,market_hours,future.LE.productName,unknown,unknown,medium,,
market_hours.future.LE.sessionHours,market_hours,future.LE.sessionHours,unknown,unknown,medium,,
market_hours.future.LE.sessionHours.noTrading,market_hours,future.LE.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.LE.sessionHours.noTrading.*,market_hours,future.LE.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.LE.sessionHours.noTrading.*.end,market_hours,future.LE.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.LE.sessionHours.noTrading.*.start,market_hours,future.LE.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.LE.sessionHours.regularMarket,market_hours,future.LE.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.LE.sessionHours.regularMarket.*,market_hours,future.LE.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.LE.sessionHours.regularMarket.*.end,market_hours,future.LE.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.LE.sessionHours.regularMarket.*.start,market_hours,future.LE.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.LNK,market_hours,future.LNK,unknown,unknown,medium,,
market_hours.future.LNK.category,market_hours,future.LNK.category,unknown,unknown,medium,,
market_hours.future.LNK.date,market_hours,future.LNK.date,unknown,unknown,medium,,
market_hours.future.LNK.exchange,market_hours,future.LNK.exchange,unknown,unknown,low,,
market_hours.future.LNK.isOpen,market_hours,future.LNK.isOpen,market_hours,unknown,medium,,
market_hours.future.LNK.marketType,market_hours,future.LNK.marketType,unknown,unknown,medium,,
market_hours.future.LNK.product,market_hours,future.LNK.product,unknown,unknown,medium,,
market_hours.future.LNK.productName,market_hours,future.LNK.productName,unknown,unknown,medium,,
market_hours.future.LNK.sessionHours,market_hours,future.LNK.sessionHours,unknown,unknown,medium,,
market_hours.future.LNK.sessionHours.noTrading,market_hours,future.LNK.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.LNK.sessionHours.noTrading.*,market_hours,future.LNK.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.LNK.sessionHours.noTrading.*.end,market_hours,future.LNK.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.LNK.sessionHours.noTrading.*.start,market_hours,future.LNK.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.LNK.sessionHours.regularMarket,market_hours,future.LNK.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.LNK.sessionHours.regularMarket.*,market_hours,future.LNK.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.LNK.sessionHours.regularMarket.*.end,market_hours,future.LNK.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.LNK.sessionHours.regularMarket.*.start,market_hours,future.LNK.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.M2K,market_hours,future.M2K,unknown,unknown,medium,,
market_hours.future.M2K.category,market_hours,future.M2K.category,unknown,unknown,medium,,
market_hours.future.M2K.date,market_hours,future.M2K.date,unknown,unknown,medium,,
market_hours.future.M2K.exchange,market_hours,future.M2K.exchange,unknown,unknown,low,,
market_hours.future.M2K.isOpen,market_hours,future.M2K.isOpen,market_hours,unknown,medium,,
market_hours.future.M2K.marketType,market_hours,future.M2K.marketType,unknown,unknown,medium,,
market_hours.future.M2K.product,market_hours,future.M2K.product,unknown,unknown,medium,,
market_hours.future.M2K.productName,market_hours,future.M2K.productName,unknown,unknown,medium,,
market_hours.future.M2K.sessionHours,market_hours,future.M2K.sessionHours,unknown,unknown,medium,,
market_hours.future.M2K.sessionHours.noTrading,market_hours,future.M2K.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.M2K.sessionHours.noTrading.*,market_hours,future.M2K.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.M2K.sessionHours.noTrading.*.end,market_hours,future.M2K.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.M2K.sessionHours.noTrading.*.start,market_hours,future.M2K.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.M2K.sessionHours.regularMarket,market_hours,future.M2K.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.M2K.sessionHours.regularMarket.*,market_hours,future.M2K.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.M2K.sessionHours.regularMarket.*.end,market_hours,future.M2K.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.M2K.sessionHours.regularMarket.*.start,market_hours,future.M2K.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.M6A,market_hours,future.M6A,unknown,unknown,medium,,
market_hours.future.M6A.category,market_hours,future.M6A.category,unknown,unknown,medium,,
market_hours.future.M6A.date,market_hours,future.M6A.date,unknown,unknown,medium,,
market_hours.future.M6A.exchange,market_hours,future.M6A.exchange,unknown,unknown,low,,
market_hours.future.M6A.isOpen,market_hours,future.M6A.isOpen,market_hours,unknown,medium,,
market_hours.future.M6A.marketType,market_hours,future.M6A.marketType,unknown,unknown,medium,,
market_hours.future.M6A.product,market_hours,future.M6A.product,unknown,unknown,medium,,
market_hours.future.M6A.productName,market_hours,future.M6A.productName,unknown,unknown,medium,,
market_hours.future.M6A.sessionHours,market_hours,future.M6A.sessionHours,unknown,unknown,medium,,
market_hours.future.M6A.sessionHours.noTrading,market_hours,future.M6A.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.M6A.sessionHours.noTrading.*,market_hours,future.M6A.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.M6A.sessionHours.noTrading.*.end,market_hours,future.M6A.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.M6A.sessionHours.noTrading.*.start,market_hours,future.M6A.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.M6A.sessionHours.regularMarket,market_hours,future.M6A.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.M6A.sessionHours.regularMarket.*,market_hours,future.M6A.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.M6A.sessionHours.regularMarket.*.end,market_hours,future.M6A.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.M6A.sessionHours.regularMarket.*.start,market_hours,future.M6A.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.M6B,market_hours,future.M6B,unknown,unknown,medium,,
market_hours.future.M6B.category,market_hours,future.M6B.category,unknown,unknown,medium,,
market_hours.future.M6B.date,market_hours,future.M6B.date,unknown,unknown,medium,,
market_hours.future.M6B.exchange,market_hours,future.M6B.exchange,unknown,unknown,low,,
market_hours.future.M6B.isOpen,market_hours,future.M6B.isOpen,market_hours,unknown,medium,,
market_hours.future.M6B.marketType,market_hours,future.M6B.marketType,unknown,unknown,medium,,
market_hours.future.M6B.product,market_hours,future.M6B.product,unknown,unknown,medium,,
market_hours.future.M6B.productName,market_hours,future.M6B.productName,unknown,unknown,medium,,
market_hours.future.M6B.sessionHours,market_hours,future.M6B.sessionHours,unknown,unknown,medium,,
market_hours.future.M6B.sessionHours.noTrading,market_hours,future.M6B.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.M6B.sessionHours.noTrading.*,market_hours,future.M6B.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.M6B.sessionHours.noTrading.*.end,market_hours,future.M6B.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.M6B.sessionHours.noTrading.*.start,market_hours,future.M6B.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.M6B.sessionHours.regularMarket,market_hours,future.M6B.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.M6B.sessionHours.regularMarket.*,market_hours,future.M6B.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.M6B.sessionHours.regularMarket.*.end,market_hours,future.M6B.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.M6B.sessionHours.regularMarket.*.start,market_hours,future.M6B.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.M6E,market_hours,future.M6E,unknown,unknown,medium,,
market_hours.future.M6E.category,market_hours,future.M6E.category,unknown,unknown,medium,,
market_hours.future.M6E.date,market_hours,future.M6E.date,unknown,unknown,medium,,
market_hours.future.M6E.exchange,market_hours,future.M6E.exchange,unknown,unknown,low,,
market_hours.future.M6E.isOpen,market_hours,future.M6E.isOpen,market_hours,unknown,medium,,
market_hours.future.M6E.marketType,market_hours,future.M6E.marketType,unknown,unknown,medium,,
market_hours.future.M6E.product,market_hours,future.M6E.product,unknown,unknown,medium,,
market_hours.future.M6E.productName,market_hours,future.M6E.productName,unknown,unknown,medium,,
market_hours.future.M6E.sessionHours,market_hours,future.M6E.sessionHours,unknown,unknown,medium,,
market_hours.future.M6E.sessionHours.noTrading,market_hours,future.M6E.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.M6E.sessionHours.noTrading.*,market_hours,future.M6E.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.M6E.sessionHours.noTrading.*.end,market_hours,future.M6E.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.M6E.sessionHours.noTrading.*.start,market_hours,future.M6E.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.M6E.sessionHours.regularMarket,market_hours,future.M6E.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.M6E.sessionHours.regularMarket.*,market_hours,future.M6E.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.M6E.sessionHours.regularMarket.*.end,market_hours,future.M6E.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.M6E.sessionHours.regularMarket.*.start,market_hours,future.M6E.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.MBT,market_hours,future.MBT,unknown,unknown,medium,,
market_hours.future.MBT.category,market_hours,future.MBT.category,unknown,unknown,medium,,
market_hours.future.MBT.date,market_hours,future.MBT.date,unknown,unknown,medium,,
market_hours.future.MBT.exchange,market_hours,future.MBT.exchange,unknown,unknown,low,,
market_hours.future.MBT.isOpen,market_hours,future.MBT.isOpen,market_hours,unknown,medium,,
market_hours.future.MBT.marketType,market_hours,future.MBT.marketType,unknown,unknown,medium,,
market_hours.future.MBT.product,market_hours,future.MBT.product,unknown,unknown,medium,,
market_hours.future.MBT.productName,market_hours,future.MBT.productName,unknown,unknown,medium,,
market_hours.future.MBT.sessionHours,market_hours,future.MBT.sessionHours,unknown,unknown,medium,,
market_hours.future.MBT.sessionHours.noTrading,market_hours,future.MBT.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MBT.sessionHours.noTrading.*,market_hours,future.MBT.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.MBT.sessionHours.noTrading.*.end,market_hours,future.MBT.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.MBT.sessionHours.noTrading.*.start,market_hours,future.MBT.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.MBT.sessionHours.regularMarket,market_hours,future.MBT.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MBT.sessionHours.regularMarket.*,market_hours,future.MBT.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.MBT.sessionHours.regularMarket.*.end,market_hours,future.MBT.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.MBT.sessionHours.regularMarket.*.start,market_hours,future.MBT.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.MCA,market_hours,future.MCA,unknown,unknown,medium,,
market_hours.future.MCA.category,market_hours,future.MCA.category,unknown,unknown,medium,,
market_hours.future.MCA.date,market_hours,future.MCA.date,unknown,unknown,medium,,
market_hours.future.MCA.exchange,market_hours,future.MCA.exchange,unknown,unknown,low,,
market_hours.future.MCA.isOpen,market_hours,future.MCA.isOpen,market_hours,unknown,medium,,
market_hours.future.MCA.marketType,market_hours,future.MCA.marketType,unknown,unknown,medium,,
market_hours.future.MCA.product,market_hours,future.MCA.product,unknown,unknown,medium,,
market_hours.future.MCA.productName,market_hours,future.MCA.productName,unknown,unknown,medium,,
market_hours.future.MCA.sessionHours,market_hours,future.MCA.sessionHours,unknown,unknown,medium,,
market_hours.future.MCA.sessionHours.noTrading,market_hours,future.MCA.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MCA.sessionHours.noTrading.*,market_hours,future.MCA.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.MCA.sessionHours.noTrading.*.end,market_hours,future.MCA.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.MCA.sessionHours.noTrading.*.start,market_hours,future.MCA.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.MCA.sessionHours.regularMarket,market_hours,future.MCA.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MCA.sessionHours.regularMarket.*,market_hours,future.MCA.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.MCA.sessionHours.regularMarket.*.end,market_hours,future.MCA.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.MCA.sessionHours.regularMarket.*.start,market_hours,future.MCA.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.MCD,market_hours,future.MCD,unknown,unknown,medium,,
market_hours.future.MCD.category,market_hours,future.MCD.category,unknown,unknown,medium,,
market_hours.future.MCD.date,market_hours,future.MCD.date,unknown,unknown,medium,,
market_hours.future.MCD.exchange,market_hours,future.MCD.exchange,unknown,unknown,low,,
market_hours.future.MCD.isOpen,market_hours,future.MCD.isOpen,market_hours,unknown,medium,,
market_hours.future.MCD.marketType,market_hours,future.MCD.marketType,unknown,unknown,medium,,
market_hours.future.MCD.product,market_hours,future.MCD.product,unknown,unknown,medium,,
market_hours.future.MCD.productName,market_hours,future.MCD.productName,unknown,unknown,medium,,
market_hours.future.MCD.sessionHours,market_hours,future.MCD.sessionHours,unknown,unknown,medium,,
market_hours.future.MCD.sessionHours.noTrading,market_hours,future.MCD.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MCD.sessionHours.noTrading.*,market_hours,future.MCD.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.MCD.sessionHours.noTrading.*.end,market_hours,future.MCD.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.MCD.sessionHours.noTrading.*.start,market_hours,future.MCD.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.MCD.sessionHours.regularMarket,market_hours,future.MCD.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MCD.sessionHours.regularMarket.*,market_hours,future.MCD.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.MCD.sessionHours.regularMarket.*.end,market_hours,future.MCD.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.MCD.sessionHours.regularMarket.*.start,market_hours,future.MCD.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.MCL,market_hours,future.MCL,unknown,unknown,medium,,
market_hours.future.MCL.category,market_hours,future.MCL.category,unknown,unknown,medium,,
market_hours.future.MCL.date,market_hours,future.MCL.date,unknown,unknown,medium,,
market_hours.future.MCL.exchange,market_hours,future.MCL.exchange,unknown,unknown,low,,
market_hours.future.MCL.isOpen,market_hours,future.MCL.isOpen,market_hours,unknown,medium,,
market_hours.future.MCL.marketType,market_hours,future.MCL.marketType,unknown,unknown,medium,,
market_hours.future.MCL.product,market_hours,future.MCL.product,unknown,unknown,medium,,
market_hours.future.MCL.productName,market_hours,future.MCL.productName,unknown,unknown,medium,,
market_hours.future.MCL.sessionHours,market_hours,future.MCL.sessionHours,unknown,unknown,medium,,
market_hours.future.MCL.sessionHours.noTrading,market_hours,future.MCL.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MCL.sessionHours.noTrading.*,market_hours,future.MCL.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.MCL.sessionHours.noTrading.*.end,market_hours,future.MCL.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.MCL.sessionHours.noTrading.*.start,market_hours,future.MCL.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.MCL.sessionHours.regularMarket,market_hours,future.MCL.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MCL.sessionHours.regularMarket.*,market_hours,future.MCL.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.MCL.sessionHours.regularMarket.*.end,market_hours,future.MCL.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.MCL.sessionHours.regularMarket.*.start,market_hours,future.MCL.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.MES,market_hours,future.MES,unknown,unknown,medium,,
market_hours.future.MES.category,market_hours,future.MES.category,unknown,unknown,medium,,
market_hours.future.MES.date,market_hours,future.MES.date,unknown,unknown,medium,,
market_hours.future.MES.exchange,market_hours,future.MES.exchange,unknown,unknown,low,,
market_hours.future.MES.isOpen,market_hours,future.MES.isOpen,market_hours,unknown,medium,,
market_hours.future.MES.marketType,market_hours,future.MES.marketType,unknown,unknown,medium,,
market_hours.future.MES.product,market_hours,future.MES.product,unknown,unknown,medium,,
market_hours.future.MES.productName,market_hours,future.MES.productName,unknown,unknown,medium,,
market_hours.future.MES.sessionHours,market_hours,future.MES.sessionHours,unknown,unknown,medium,,
market_hours.future.MES.sessionHours.noTrading,market_hours,future.MES.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MES.sessionHours.noTrading.*,market_hours,future.MES.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.MES.sessionHours.noTrading.*.end,market_hours,future.MES.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.MES.sessionHours.noTrading.*.start,market_hours,future.MES.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.MES.sessionHours.regularMarket,market_hours,future.MES.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MES.sessionHours.regularMarket.*,market_hours,future.MES.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.MES.sessionHours.regularMarket.*.end,market_hours,future.MES.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.MES.sessionHours.regularMarket.*.start,market_hours,future.MES.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.MET,market_hours,future.MET,unknown,unknown,medium,,
market_hours.future.MET.category,market_hours,future.MET.category,unknown,unknown,medium,,
market_hours.future.MET.date,market_hours,future.MET.date,unknown,unknown,medium,,
market_hours.future.MET.exchange,market_hours,future.MET.exchange,unknown,unknown,low,,
market_hours.future.MET.isOpen,market_hours,future.MET.isOpen,market_hours,unknown,medium,,
market_hours.future.MET.marketType,market_hours,future.MET.marketType,unknown,unknown,medium,,
market_hours.future.MET.product,market_hours,future.MET.product,unknown,unknown,medium,,
market_hours.future.MET.productName,market_hours,future.MET.productName,unknown,unknown,medium,,
market_hours.future.MET.sessionHours,market_hours,future.MET.sessionHours,unknown,unknown,medium,,
market_hours.future.MET.sessionHours.noTrading,market_hours,future.MET.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MET.sessionHours.noTrading.*,market_hours,future.MET.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.MET.sessionHours.noTrading.*.end,market_hours,future.MET.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.MET.sessionHours.noTrading.*.start,market_hours,future.MET.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.MET.sessionHours.regularMarket,market_hours,future.MET.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MET.sessionHours.regularMarket.*,market_hours,future.MET.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.MET.sessionHours.regularMarket.*.end,market_hours,future.MET.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.MET.sessionHours.regularMarket.*.start,market_hours,future.MET.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.MGC,market_hours,future.MGC,unknown,unknown,medium,,
market_hours.future.MGC.category,market_hours,future.MGC.category,unknown,unknown,medium,,
market_hours.future.MGC.date,market_hours,future.MGC.date,unknown,unknown,medium,,
market_hours.future.MGC.exchange,market_hours,future.MGC.exchange,unknown,unknown,low,,
market_hours.future.MGC.isOpen,market_hours,future.MGC.isOpen,market_hours,unknown,medium,,
market_hours.future.MGC.marketType,market_hours,future.MGC.marketType,unknown,unknown,medium,,
market_hours.future.MGC.product,market_hours,future.MGC.product,unknown,unknown,medium,,
market_hours.future.MGC.productName,market_hours,future.MGC.productName,unknown,unknown,medium,,
market_hours.future.MGC.sessionHours,market_hours,future.MGC.sessionHours,unknown,unknown,medium,,
market_hours.future.MGC.sessionHours.noTrading,market_hours,future.MGC.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MGC.sessionHours.noTrading.*,market_hours,future.MGC.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.MGC.sessionHours.noTrading.*.end,market_hours,future.MGC.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.MGC.sessionHours.noTrading.*.start,market_hours,future.MGC.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.MGC.sessionHours.regularMarket,market_hours,future.MGC.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MGC.sessionHours.regularMarket.*,market_hours,future.MGC.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.MGC.sessionHours.regularMarket.*.end,market_hours,future.MGC.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.MGC.sessionHours.regularMarket.*.start,market_hours,future.MGC.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.MHG,market_hours,future.MHG,unknown,unknown,medium,,
market_hours.future.MHG.category,market_hours,future.MHG.category,unknown,unknown,medium,,
market_hours.future.MHG.date,market_hours,future.MHG.date,unknown,unknown,medium,,
market_hours.future.MHG.exchange,market_hours,future.MHG.exchange,unknown,unknown,low,,
market_hours.future.MHG.isOpen,market_hours,future.MHG.isOpen,market_hours,unknown,medium,,
market_hours.future.MHG.marketType,market_hours,future.MHG.marketType,unknown,unknown,medium,,
market_hours.future.MHG.product,market_hours,future.MHG.product,unknown,unknown,medium,,
market_hours.future.MHG.productName,market_hours,future.MHG.productName,unknown,unknown,medium,,
market_hours.future.MHG.sessionHours,market_hours,future.MHG.sessionHours,unknown,unknown,medium,,
market_hours.future.MHG.sessionHours.noTrading,market_hours,future.MHG.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MHG.sessionHours.noTrading.*,market_hours,future.MHG.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.MHG.sessionHours.noTrading.*.end,market_hours,future.MHG.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.MHG.sessionHours.noTrading.*.start,market_hours,future.MHG.sessionHours.noTrading.5.start,unknown,unknown,medium,,
market_hours.future.MHG.sessionHours.regularMarket,market_hours,future.MHG.sessionHours.regularMarket,unknown,unknown,medium,,
market_hours.future.MHG.sessionHours.regularMarket.*,market_hours,future.MHG.sessionHours.regularMarket.1,unknown,unknown,medium,,
market_hours.future.MHG.sessionHours.regularMarket.*.end,market_hours,future.MHG.sessionHours.regularMarket.1.end,unknown,unknown,medium,,
market_hours.future.MHG.sessionHours.regularMarket.*.start,market_hours,future.MHG.sessionHours.regularMarket.1.start,unknown,unknown,medium,,
market_hours.future.MHO,market_hours,future.MHO,unknown,unknown,medium,,
market_hours.future.MHO.category,market_hours,future.MHO.category,unknown,unknown,medium,,
market_hours.future.MHO.date,market_hours,future.MHO.date,unknown,unknown,medium,,
market_hours.future.MHO.exchange,market_hours,future.MHO.exchange,unknown,unknown,low,,
market_hours.future.MHO.isOpen,market_hours,future.MHO.isOpen,market_hours,unknown,medium,,
market_hours.future.MHO.marketType,market_hours,future.MHO.marketType,unknown,unknown,medium,,
market_hours.future.MHO.product,market_hours,future.MHO.product,unknown,unknown,medium,,
market_hours.future.MHO.productName,market_hours,future.MHO.productName,unknown,unknown,medium,,
market_hours.future.MHO.sessionHours,market_hours,future.MHO.sessionHours,unknown,unknown,medium,,
market_hours.future.MHO.sessionHours.noTrading,market_hours,future.MHO.sessionHours.noTrading,unknown,unknown,medium,,
market_hours.future.MHO.sessionHours.noTrading.*,market_hours,future.MHO.sessionHours.noTrading.5,unknown,unknown,medium,,
market_hours.future.MHO.sessionHours.noTrading.*.end,market_hours,future.MHO.sessionHours.noTrading.5.end,unknown,unknown,medium,,
market_hours.future.MHO.sessionHours.noTrading.*.start,market_hours,future.MHO.sessionHours.noTrading.5.start,unknown,unknown,medium,,
